model,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,coverage,abstention_rate,accepted_accuracy,ece,brier,estimated_model_bytes
rule_only,0.25,0.25,0.25,0.25,0.36689969,0.25,0.75,1.0,,,0
word_tfidf_logistic_regression,0.375,0.375,0.33333333,0.33333333,0.29649973,1.0,0.0,0.375,0.2635183,0.82895482,85083
character_tfidf_logistic_regression,0.75,0.75,0.66666667,0.66666667,0.74124932,1.0,0.0,0.75,0.58649974,0.81760835,331415
word_character_tfidf_logistic_regression,0.75,0.75,0.66666667,0.66666667,0.74124932,1.0,0.0,0.75,0.62478528,0.79077971,415954
calibrated_word_character_tfidf,0.5,0.5,0.5,0.5,0.43643578,1.0,0.0,0.5,0.28039671,0.58940291,969536
