model,accuracy,balanced_accuracy,spam_precision,spam_recall,spam_f1,macro_f1,mcc,average_precision,brier,ece,estimated_model_bytes
calibrated_character_tfidf,0.98601399,0.96096257,0.96226415,0.92727273,0.94444444,0.96822222,0.93665778,0.98579198,0.01068872,0.00705779,4229692
character_tfidf_logistic_regression,0.98717949,0.96938503,0.95412844,0.94545455,0.94977169,0.97121183,0.94243675,0.98738871,0.02671276,0.11358128,1775811
word_tfidf_logistic_regression,0.98601399,0.97259358,0.9375,0.95454545,0.94594595,0.96895691,0.93796478,0.97952642,0.03673417,0.14322972,1274709
